yearID,teamID,league,playerID,salary,SalaryID
1991,SEA,AL,bankhsc01,755000,4715
1991,SEA,AL,bradlsc01,575000,4716
1991,SEA,AL,brilegr01,265000,4717
1991,SEA,AL,buhneja01,247500,4718
1991,SEA,AL,cochrda01,108000,4719
1991,SEA,AL,cottohe01,600000,4720
1991,SEA,AL,davisal01,1725000,4721
1991,SEA,AL,delucri01,100000,4722
1991,SEA,AL,griffke02,700000,4723
1991,SEA,AL,hansoer01,400000,4724
1991,SEA,AL,harrige01,132500,4725
1991,SEA,AL,holmabr01,300000,4726
1991,SEA,AL,jacksmi02,700000,4727
1991,SEA,AL,johnsra05,350000,4728
1991,SEA,AL,jonestr01,525000,4729
1991,SEA,AL,kruegbi01,500000,4730
1991,SEA,AL,martied01,350000,4731
1991,SEA,AL,murphro01,950000,4732
1991,SEA,AL,obriepe03,2037500,4733
1991,SEA,AL,reynoha01,1866666,4734
1991,SEA,AL,schaeje01,110000,4735
1991,SEA,AL,schoomi01,490000,4736
1991,SEA,AL,swanru01,108000,4737
1991,SEA,AL,swiftbi02,950000,4738
1991,SEA,AL,valleda01,666667,4739
1991,SEA,AL,vizquom01,180000,4740
1991,SFN,NL,anderda02,600000,4741
1991,SFN,NL,basske01,1333333,4742
1991,SFN,NL,benjami01,110000,4743
1991,SFN,NL,blackbu02,1750000,4744
1991,SFN,NL,brantje01,166000,4745
1991,SFN,NL,burkejo03,230000,4746
1991,SFN,NL,clarkwi02,3750000,4747
1991,SFN,NL,deckest01,100000,4748
1991,SFN,NL,downske01,525000,4749
1991,SFN,NL,garresc01,2400000,4750
1991,SFN,NL,gundeer01,105000,4751
1991,SFN,NL,kennete02,500000,4752
1991,SFN,NL,kingemi01,362500,4753
1991,SFN,NL,lacosmi01,1450000,4754
1991,SFN,NL,leonama01,110000,4755
1991,SFN,NL,littogr01,165000,4756
1991,SFN,NL,manwaki01,150000,4757
1991,SFN,NL,mcgeewi01,3562500,4758
1991,SFN,NL,mitchke01,3750000,4759
1991,SFN,NL,parkeri01,115000,4760
1991,SFN,NL,reuscri01,1350000,4761
1991,SFN,NL,righeda01,2500000,4762
1991,SFN,NL,robindo01,2450000,4763
1991,SFN,NL,thompro01,1500000,4764
1991,SFN,NL,uribejo01,1333333,4765
1991,SFN,NL,willima04,600000,4766
1991,SLN,NL,agostju01,1166667,4767
1991,SLN,NL,carpecr01,120000,4768
1991,SLN,NL,clarkma01,100000,4769
1991,SLN,NL,deleojo01,2366667,4770
1991,SLN,NL,dipinfr01,850000,4771
1991,SLN,NL,gedmari01,150000,4772
1991,SLN,NL,gilkebe01,125000,4773
1991,SLN,NL,guerrpe01,2283334,4774
1991,SLN,NL,hillke01,155000,4775
1991,SLN,NL,hudlere01,300000,4776
1991,SLN,NL,josefe01,160000,4777
1991,SLN,NL,lankfra01,125000,4778
1991,SLN,NL,magrajo01,1025000,4779
1991,SLN,NL,moyerja01,200000,4780
1991,SLN,NL,olivaom01,120000,4781
1991,SLN,NL,oquenjo01,775000,4782
1991,SLN,NL,pagnoto01,310000,4783
1991,SLN,NL,penage01,120000,4784
1991,SLN,NL,perezmi01,115000,4785
1991,SLN,NL,perryge01,1166667,4786
1991,SLN,NL,smithbr01,2133333,4787
1991,SLN,NL,smithle02,2791666,4788
1991,SLN,NL,smithoz01,2225000,4789
1991,SLN,NL,terrysc01,350000,4790
1991,SLN,NL,tewksbo01,160000,4791
1991,SLN,NL,thompmi02,1516667,4792
1991,SLN,NL,wilsocr01,130000,4793
1991,SLN,NL,worreto01,660000,4794
1991,SLN,NL,zeileto01,160000,4795
1991,TEX,AL,arnsbbr01,287500,4796
1991,TEX,AL,barfijo01,110000,4797
1991,TEX,AL,bohanbr01,105000,4798
1991,TEX,AL,brownke01,355000,4799
1991,TEX,AL,buechst01,775000,4800
1991,TEX,AL,chiamsc01,112000,4801
1991,TEX,AL,daughja01,205000,4802
1991,TEX,AL,francju01,2350000,4803
1991,TEX,AL,jeffcmi01,390000,4804
1991,TEX,AL,kreutch01,110000,4805
1991,TEX,AL,palmera01,1475000,4806
1991,TEX,AL,parenma01,280000,4807
1991,TEX,AL,petrage01,562500,4808
1991,TEX,AL,pettiga01,903333,4809
1991,TEX,AL,pooleji02,105000,4810
1991,TEX,AL,rogerke01,287500,4811
1991,TEX,AL,russeje01,2200000,4812
1991,TEX,AL,ryanno01,3300000,4813
1991,TEX,AL,sierrru01,2650000,4814
1991,TEX,AL,stanlmi02,145000,4815
1991,TEX,AL,wittbo01,1516667,4816
1991,TOR,AL,alomaro01,1300000,4817
1991,TOR,AL,bordepa01,700000,4818
1991,TOR,AL,cartejo01,3791667,4819
1991,TOR,AL,duceyro01,150000,4820
1991,TOR,AL,gonzare01,306250,4821
1991,TOR,AL,grubeke01,3033333,4822
1991,TOR,AL,guzmaju01,100000,4823
1991,TOR,AL,hentgpa01,100000,4824
1991,TOR,AL,knorrra01,100000,4825
1991,TOR,AL,leema02,712500,4826
1991,TOR,AL,leiteal01,180000,4827
1991,TOR,AL,mullira01,725000,4828
1991,TOR,AL,myersgr01,160000,4829
1991,TOR,AL,olerujo01,293667,4830
1991,TOR,AL,spraged02,100000,4831
1991,TOR,AL,stiebda01,3000000,4832
1991,TOR,AL,stottto01,315000,4833
1991,TOR,AL,tablepa01,700000,4834
1991,TOR,AL,timlimi01,100000,4835
1991,TOR,AL,warddu01,800000,4836
1991,TOR,AL,wellsda01,800000,4837
1991,TOR,AL,whitema01,115000,4838
1991,TOR,AL,willike02,260000,4839
1991,TOR,AL,willsfr01,435000,4840
1991,TOR,AL,wilsomo01,1625000,4841
1992,ATL,NL,averyst01,355000,4842
1992,ATL,NL,bellira01,500000,4843
1992,ATL,NL,berenju01,1200000,4844
1992,ATL,NL,berryda01,370000,4845
1992,ATL,NL,bielemi01,1325000,4846
1992,ATL,NL,blausje01,940000,4847
1992,ATL,NL,breamsi01,2400000,4848
1992,ATL,NL,cabrefr01,148000,4849
1992,ATL,NL,castivi02,109000,4850
1992,ATL,NL,esaskni01,2150000,4851
1992,ATL,NL,freemma02,400000,4852
1992,ATL,NL,gantro01,2700000,4853
1992,ATL,NL,glavito02,2975000,4854
1992,ATL,NL,greggto01,247500,4855
1992,ATL,NL,huntebr01,146500,4856
1992,ATL,NL,justida01,555000,4857
1992,ATL,NL,leibrch01,3183333,4858
1992,ATL,NL,lemkema01,250000,4859
1992,ATL,NL,lyonsst01,650000,4860
1992,ATL,NL,merckke01,190000,4861
1992,ATL,NL,nixonot01,1810000,4862
1992,ATL,NL,olsongr02,350000,4863
1992,ATL,NL,penaal01,2650000,4864
1992,ATL,NL,pendlte01,3025000,4865
1992,ATL,NL,riverbe01,109000,4866
1992,ATL,NL,sandede02,600000,4867
1992,ATL,NL,smithlo01,1750000,4868
1992,ATL,NL,smithpe02,410000,4869
1992,ATL,NL,smoltjo01,1600000,4870
